CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
8,Barcelona,19,Barcelona,4,7,2023,1,1,24.0,V,28.0,V,20.0,V,9.0,V,13.0,V,14.0,V,7.0,V,10.0,V,5.0,V,10.0,V,11.0,V,12.0,V,11.0,V,5.0,V,7.0,V,3.0,V,2.0,V,3.0,V,5.0,V,37.0,V,51.0,V,54.0,V,40.0,V,26.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,2,12.0,V,13.0,V,13.0,V,9.0,V,5.0,V,7.0,V,11.0,V,31.0,V,56.0,V,61.0,V,41.0,V,50.0,V,48.0,V,46.0,V,48.0,V,31.0,V,23.0,V,12.0,V,15.0,V,22.0,V,29.0,V,26.0,V,97.0,V,65.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,3,68.0,V,31.0,V,31.0,V,24.0,V,20.0,V,16.0,V,26.0,V,51.0,V,63.0,V,67.0,V,64.0,V,79.0,V,66.0,V,43.0,V,,N,,N,11.0,V,6.0,V,19.0,V,6.0,V,3.0,V,2.0,V,2.0,V,1.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,4,1.0,V,1.0,V,1.0,V,2.0,V,3.0,V,7.0,V,16.0,V,33.0,V,54.0,V,72.0,V,46.0,V,33.0,V,18.0,V,14.0,V,12.0,V,12.0,V,16.0,V,17.0,V,16.0,V,26.0,V,69.0,V,36.0,V,16.0,V,22.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,5,22.0,V,9.0,V,5.0,V,4.0,V,8.0,V,6.0,V,11.0,V,36.0,V,52.0,V,84.0,V,88.0,V,55.0,V,26.0,V,23.0,V,24.0,V,19.0,V,6.0,V,3.0,V,2.0,V,6.0,V,33.0,V,73.0,V,13.0,V,7.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,6,1.0,V,2.0,V,1.0,V,2.0,V,2.0,V,1.0,V,4.0,V,6.0,V,10.0,V,13.0,V,14.0,V,12.0,V,9.0,V,7.0,V,4.0,V,2.0,V,1.0,V,2.0,V,21.0,V,51.0,V,68.0,V,63.0,V,49.0,V,37.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,7,29.0,V,31.0,V,19.0,V,5.0,V,1.0,V,2.0,V,4.0,V,7.0,V,12.0,V,18.0,V,30.0,V,4.0,V,3.0,V,3.0,V,4.0,V,3.0,V,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,4.0,V,6.0,V,20.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,8,16.0,V,14.0,V,30.0,V,8.0,V,2.0,V,2.0,V,1.0,V,3.0,V,2.0,V,16.0,V,7.0,V,7.0,V,7.0,V,7.0,V,13.0,V,3.0,V,12.0,V,23.0,V,9.0,V,21.0,V,30.0,V,22.0,V,11.0,V,2.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,9,13.0,V,9.0,V,3.0,V,2.0,V,1.0,V,2.0,V,3.0,V,1.0,V,3.0,V,5.0,V,4.0,V,5.0,V,4.0,V,3.0,V,4.0,V,2.0,V,2.0,V,1.0,V,2.0,V,1.0,V,2.0,V,1.0,V,2.0,V,2.0,V
8,Barcelona,19,Barcelona,4,7,2023,1,10,1.0,V,3.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,12.0,V,30.0,V,16.0,V,17.0,V,7.0,V,5.0,V,5.0,V,5.0,V,4.0,V,4.0,V,5.0,V,3.0,V,7.0,V,4.0,V,15.0,V,44.0,V,60.0,V
